relation,src_node_id,dst_node_id,src_node_index,dst_node_index,jaccard,shared_genes
disease_gene_jaccard,ETCM_disease_id_1465,ETCM_disease_id_1530,925,972,0.4166666567325592,5
disease_gene_jaccard,ETCM_disease_id_1465,ETCM_disease_id_1469,925,929,0.4166666567325592,5
disease_gene_jaccard,ETCM_disease_id_1465,ETCM_disease_id_1399,925,884,0.4166666567325592,5
disease_gene_jaccard,ETCM_disease_id_1465,ETCM_disease_id_1397,925,882,0.4166666567325592,5
disease_gene_jaccard,ETCM_disease_id_1466,ETCM_disease_id_1460,926,921,1.0,5
disease_gene_jaccard,ETCM_disease_id_1469,ETCM_disease_id_3706,929,2341,1.0,12
disease_gene_jaccard,ETCM_disease_id_1469,ETCM_disease_id_3497,929,2217,1.0,12
disease_gene_jaccard,ETCM_disease_id_1469,ETCM_disease_id_3186,929,2023,1.0,12
disease_gene_jaccard,ETCM_disease_id_1469,ETCM_disease_id_3147,929,1997,1.0,12
disease_gene_jaccard,ETCM_disease_id_1469,ETCM_disease_id_1530,929,972,1.0,12
disease_gene_jaccard,ETCM_disease_id_1469,ETCM_disease_id_1399,929,884,1.0,12
disease_gene_jaccard,ETCM_disease_id_1469,ETCM_disease_id_1397,929,882,1.0,12
disease_gene_jaccard,ETCM_disease_id_147,ETCM_disease_id_208,95,136,0.2075471729040146,11
disease_gene_jaccard,ETCM_disease_id_1472,ETCM_disease_id_1650,932,1046,1.0,10
disease_gene_jaccard,ETCM_disease_id_1472,ETCM_disease_id_3683,932,2326,0.9090909361839294,10
disease_gene_jaccard,ETCM_disease_id_1475,ETCM_disease_id_155,933,102,0.4137931168079376,12
disease_gene_jaccard,ETCM_disease_id_1475,ETCM_disease_id_4130,933,2598,0.34285715222358704,12
disease_gene_jaccard,ETCM_disease_id_1475,ETCM_disease_id_3926,933,2480,0.34285715222358704,12
disease_gene_jaccard,ETCM_disease_id_1477,ETCM_disease_id_3436,935,2176,0.29870128631591797,23
disease_gene_jaccard,ETCM_disease_id_1484,ETCM_disease_id_1987,939,1267,0.21052631735801697,32
disease_gene_jaccard,ETCM_disease_id_1487,ETCM_disease_id_3464,941,2194,0.23148147761821747,25
disease_gene_jaccard,ETCM_disease_id_1496,ETCM_disease_id_3324,947,2111,0.29629629850387573,16
disease_gene_jaccard,ETCM_disease_id_1497,ETCM_disease_id_1896,948,1208,0.28125,9
disease_gene_jaccard,ETCM_disease_id_1497,ETCM_disease_id_3266,948,2072,0.25,5
disease_gene_jaccard,ETCM_disease_id_1497,ETCM_disease_id_2275,948,1446,0.25,5
disease_gene_jaccard,ETCM_disease_id_1498,ETCM_disease_id_3317,949,2107,0.2110091745853424,23
disease_gene_jaccard,ETCM_disease_id_150,ETCM_disease_id_1696,98,1073,0.3333333432674408,8
disease_gene_jaccard,ETCM_disease_id_150,ETCM_disease_id_3252,98,2064,0.29629629850387573,8
disease_gene_jaccard,ETCM_disease_id_150,ETCM_disease_id_201,98,131,0.29629629850387573,8
disease_gene_jaccard,ETCM_disease_id_1510,ETCM_disease_id_757,958,486,0.529411792755127,9
disease_gene_jaccard,ETCM_disease_id_1517,ETCM_disease_id_1466,962,926,0.5555555820465088,5
