id,name,source
ETCM_XHCF_215,"15,16-Bisnor-13-Oxo-8(17),11E-Labdadien-19-Oic Acid",existing
ETCM_XHCF_216,"15,16-Bisnor-13-Oxo-8(17)-Labden-19-Oic Acid",existing
ETCM_XHCF_217,"Ent-Isopimara-15-En-Î‘,Î‘-Diol",existing
ETCM_XHCF_218,(10S)-15-Methoxypinusolidic Acid,existing
ETCM_XHCF_219,Pinusolide,existing
ETCM_XHCF_220,"14,15,16-Trisnor-8(17)-Labdene-13,19-Dioic Acid",existing
ETCM_XHCF_221,Epigoitrin,existing
ETCM_XHCF_222,Indoxyl-Î’-Glucoside,existing
ETCM_XHCF_223,Indirubin,existing
ETCM_XHCF_224,Indirubin,existing
ETCM_XHCF_225,Gamma-Aminobutyric Acid,existing
ETCM_XHCF_226,Î’-N-Butyl-D-Tagatopyranoside,existing
ETCM_XHCF_227,"2,3-Dihydro-4-Hydroxy-2-Indole-3-Acetonitrile",existing
ETCM_XHCF_228,"(E)-3-(3',5'-Dimethoxy-4'-Hydroxybenzylidene)-2-Indolinone",existing
ETCM_XHCF_229,3-(2'-Hydroxyphenyl)-4-(3H)-Quinazolinone,existing
ETCM_XHCF_230,Indigotiisocoumarin A,existing
ETCM_XHCF_231,Indigotin,existing
ETCM_XHCF_232,Indole-3-Acetonitrile-6-O-Î’-D-Glucopyranoside,existing
ETCM_XHCF_233,(E)-2-[(3'-Indole)Cyanomethylene]-3-Indolinone,existing
ETCM_XHCF_234,Isaindigodione,existing
ETCM_XHCF_235,Isaindigotidione,existing
ETCM_XHCF_236,Isatin,existing
ETCM_XHCF_237,Kinetin,existing
ETCM_XHCF_238,Sinalbine,existing
ETCM_XHCF_239,Sinigrin,existing
ETCM_XHCF_240,"Beta-Sitosterol,Î“-Sitosterol",existing
ETCM_XHCF_241,"4-(1,2,3-Trihydroxypropyl)-2,6-Dimethoxyphenyl-1-O-Î’-D-Glucopyranoside",existing
ETCM_XHCF_242,Tryptanthrine,existing
ETCM_XHCF_243,P-Hydroxybenzoic Acid,existing
ETCM_XHCF_244,Isolobelanine,existing
ETCM_XHCF_245,Lobelanidine,existing
ETCM_XHCF_246,Lobelanine,existing
ETCM_XHCF_247,Lobeline,existing
