id,name
ETCM_XHCF_418,"Isoasarone,Î‘-Asarone"
ETCM_XHCF_419,"Asaronaldehyde,Asarylaldehyde"
ETCM_XHCF_420,"(E)-Citral,3,7-Dimethylocta-2,6-Dienal,Citral-B"
ETCM_XHCF_421,(X{2212})-Clusin
ETCM_XHCF_422,Cubeben Camphor
ETCM_XHCF_423,Î‘-Cubebene
ETCM_XHCF_424,Cubebin
ETCM_XHCF_425,(X{2212})-Cubebinin
ETCM_XHCF_426,(X{2212})-Cubebininolide
ETCM_XHCF_427,Cubebinolide
ETCM_XHCF_428,Dihydroanhydropodorhizol
ETCM_XHCF_429,(X{2212})-Dihydroclusin
ETCM_XHCF_430,Dihydrocubebin
ETCM_XHCF_431,"(1Î‘,2Î’,5Î‘,8Î‘10Î‘)-1,10-Epoxy-2-Hydroxy-3,7(11)-Guaiadien-12,8-Olide"
ETCM_XHCF_432,Ethoxyclusin
ETCM_XHCF_433,Hemiariensin
ETCM_XHCF_434,"(8R,8'R)-4-Hydroxycubebinone"
ETCM_XHCF_435,Magnosalin
ETCM_XHCF_436,(+)-Medioresinol
ETCM_XHCF_437,"(8R,8'R,9'S)-5-Methoxyclusin"
ETCM_XHCF_438,Î‘-O-Methylcubebin
ETCM_XHCF_439,"(5Î‘,8Î‘)-2-Oxo-1(10),3,7(11)-Guaiatrien-12,8-Olide"
ETCM_XHCF_440,Piperenol A
ETCM_XHCF_441,Piperenol B
ETCM_XHCF_442,(X{2212})-Thujaplicatin Trimethyl Ether
ETCM_XHCF_443,"1-(2,4,5-Trimethoxyphenyl)-1,2-Propanedione"
ETCM_XHCF_444,(+)-Zeylenol
ETCM_XHCF_445,Corilagin
ETCM_XHCF_446,Cosbene
ETCM_XHCF_447,"9,10-Dihydroxystearic Acid"
ETCM_XHCF_448,Dimelic Acid
ETCM_XHCF_449,Ricinine
ETCM_XHCF_450,Ricinoleic Acid
ETCM_XHCF_451,Sebacic Acid
ETCM_XHCF_452,Suberic Acid
ETCM_XHCF_453,Avicularin
ETCM_XHCF_454,Aviculin
ETCM_XHCF_455,Myricetin-3-O-(3''-O-Galloyl)-Î‘-Rhamnopyranoside
ETCM_XHCF_456,Rhamnetin-3-Galactoside
ETCM_XHCF_457,D-Mannose
ETCM_XHCF_458,Galactose
ETCM_XHCF_459,Isoguvacine
ETCM_XHCF_460,"Procyanidin A1,Procyanidin C1"
ETCM_XHCF_461,Arecaidine
ETCM_XHCF_462,Arecatannin A1
ETCM_XHCF_463,Arecatannin A2
ETCM_XHCF_464,Arecolidine
ETCM_XHCF_465,Arecoline
ETCM_XHCF_466,"Decanoic Acid,Capric Acid"
ETCM_XHCF_467,Dodecenoic Acid
ETCM_XHCF_468,Guvacine
ETCM_XHCF_469,Guvacoline
ETCM_XHCF_470,Homoarecoline
ETCM_XHCF_471,Myristoleic Acid
ETCM_XHCF_472,"Proanthocyanidin B2,Procyanidinb2"
ETCM_XHCF_473,Procyanidin B1
ETCM_XHCF_474,Procyanidin B3
ETCM_XHCF_475,Tetradecenoic Acid A
ETCM_XHCF_476,Tetradecenoic Acid B
ETCM_XHCF_477,Dl-Isoborneol
ETCM_XHCF_478,Alphitolic Acid
ETCM_XHCF_479,Asiatic Acid
ETCM_XHCF_480,Borneol
ETCM_XHCF_481,Borneol
ETCM_XHCF_482,Camphor
ETCM_XHCF_483,Î“-Caryophyllene
ETCM_XHCF_484,Dipterocarpol
ETCM_XHCF_485,Dryobalanone
ETCM_XHCF_486,"Beta-Elemene,Î’-Elemene"
ETCM_XHCF_487,Erythrodiol
ETCM_XHCF_488,D-Isoborneol
ETCM_XHCF_489,"(1R,2R,4R)-1,7,7-Trimethylbicyclo[2.2.1]Heptan-2-Ol,Isoborneol,L-Isoborneol"
ETCM_XHCF_490,Lignoceric Acid
ETCM_XHCF_491,Triacontane
ETCM_XHCF_492,Corylidin
ETCM_XHCF_493,"P-Cymol , P-Cymene,Xanthotoxin"
ETCM_XHCF_494,Isobavachin
ETCM_XHCF_495,Isopsoralidin
ETCM_XHCF_496,"Corylifolinin,Isobavachalcone"
ETCM_XHCF_497,Isoneobavachalcone
ETCM_XHCF_498,Daucosterol
