id,name
ETCM_Target_Genes_id_744,ITGAL
ETCM_Target_Genes_id_757,JUN
ETCM_Target_Genes_id_776,KCNH2
ETCM_Target_Genes_id_778,KCNJ3
ETCM_Target_Genes_id_806,LCN1
ETCM_Target_Genes_id_822,LPA
ETCM_Target_Genes_id_823,LPL
ETCM_Target_Genes_id_825,LSS
ETCM_Target_Genes_id_827,LTF
ETCM_Target_Genes_id_829,LYZ
ETCM_Target_Genes_id_834,MAOA
ETCM_Target_Genes_id_835,MAOB
ETCM_Target_Genes_id_837,MAP2
ETCM_Target_Genes_id_839,MAPT
ETCM_Target_Genes_id_843,MB
ETCM_Target_Genes_id_850,ME2
ETCM_Target_Genes_id_857,MIF
ETCM_Target_Genes_id_861,MMP1
ETCM_Target_Genes_id_863,MMP3
ETCM_Target_Genes_id_866,MMP9
ETCM_Target_Genes_id_874,ABCC1
ETCM_Target_Genes_id_881,MTNR1A
ETCM_Target_Genes_id_882,MTNR1B
ETCM_Target_Genes_id_887,MUT
ETCM_Target_Genes_id_892,NCF2
ETCM_Target_Genes_id_904,NDUFAB1
ETCM_Target_Genes_id_928,NEU1
ETCM_Target_Genes_id_932,NFKBIA
ETCM_Target_Genes_id_933,NGF
ETCM_Target_Genes_id_938,NNMT
ETCM_Target_Genes_id_940,NOS2
ETCM_Target_Genes_id_942,NPY
ETCM_Target_Genes_id_943,PNP
ETCM_Target_Genes_id_947,NPY2R
ETCM_Target_Genes_id_955,ODC1
ETCM_Target_Genes_id_957,OPRD1
ETCM_Target_Genes_id_958,OPRK1
ETCM_Target_Genes_id_959,OPRL1
ETCM_Target_Genes_id_960,OPRM1
ETCM_Target_Genes_id_965,OXTR
ETCM_Target_Genes_id_973,SERPINE1
ETCM_Target_Genes_id_979,SERPINA5
ETCM_Target_Genes_id_985,PDC
ETCM_Target_Genes_id_1020,PGD
ETCM_Target_Genes_id_1024,PGR
ETCM_Target_Genes_id_1025,ABCB1
ETCM_Target_Genes_id_1026,ABCB4
ETCM_Target_Genes_id_1041,PKLR
ETCM_Target_Genes_id_1043,PLA2G2A
ETCM_Target_Genes_id_1044,PLA2G4A
ETCM_Target_Genes_id_1049,PLD1
ETCM_Target_Genes_id_1050,PLD2
ETCM_Target_Genes_id_1051,PLG
ETCM_Target_Genes_id_1057,PNLIP
ETCM_Target_Genes_id_1058,PNMT
ETCM_Target_Genes_id_1063,POMC
ETCM_Target_Genes_id_1067,PPARA
ETCM_Target_Genes_id_1072,PPBP
ETCM_Target_Genes_id_1078,PPP1CC
ETCM_Target_Genes_id_1088,PPT1
ETCM_Target_Genes_id_1107,PRKCZ
ETCM_Target_Genes_id_1109,MAPK1
ETCM_Target_Genes_id_1110,MAPK3
ETCM_Target_Genes_id_1118,PRODH
ETCM_Target_Genes_id_1120,PRSS1
ETCM_Target_Genes_id_1121,PRSS2
ETCM_Target_Genes_id_1122,PRSS3
ETCM_Target_Genes_id_1133,PSMA7
ETCM_Target_Genes_id_1144,PSPH
ETCM_Target_Genes_id_1149,PTGER2
ETCM_Target_Genes_id_1150,PTGER3
ETCM_Target_Genes_id_1151,PTGER4
ETCM_Target_Genes_id_1152,PTGFR
ETCM_Target_Genes_id_1153,PTGIR
ETCM_Target_Genes_id_1156,PTGS1
ETCM_Target_Genes_id_1157,PTGS2
ETCM_Target_Genes_id_1158,PTK2
ETCM_Target_Genes_id_1167,PVALB
ETCM_Target_Genes_id_1170,ALDH18A1
ETCM_Target_Genes_id_1172,PYGB
ETCM_Target_Genes_id_1173,PYGL
ETCM_Target_Genes_id_1174,PYGM
ETCM_Target_Genes_id_1190,RBP1
ETCM_Target_Genes_id_1191,RBP2
ETCM_Target_Genes_id_1193,RBP4
ETCM_Target_Genes_id_1203,RHO
ETCM_Target_Genes_id_1205,RNASE1
ETCM_Target_Genes_id_1207,RNASE3
ETCM_Target_Genes_id_1231,S100P
ETCM_Target_Genes_id_1233,SARS
ETCM_Target_Genes_id_1237,SCN1B
ETCM_Target_Genes_id_1241,SCN4A
ETCM_Target_Genes_id_1245,SCN8A
ETCM_Target_Genes_id_1251,CCL2
ETCM_Target_Genes_id_1252,CCL5
ETCM_Target_Genes_id_1264,SHBG
ETCM_Target_Genes_id_1269,SLC1A1
ETCM_Target_Genes_id_1270,SLC1A2
