my_name,match_name,kdhr_id
蛇床子,蛇床子,HN4066
射干,射干,HN8254
升麻,升麻,HN4709
生姜,生姜,HN4332
蓍草,蓍草,HN3
石菖蒲,石菖蒲,HN6096
石吊兰,石吊兰,HN2072
石斛,石斛,HN6002
石榴皮,石榴皮,HN8918
石韦,石韦,HN7256
使君子,使君子,HN2707
柿蒂,柿蒂,HN53
水飞蓟,水飞蓟,HN7066
丝瓜络,丝瓜络,HN656
四季青,四季青,HN2509
苏合香,苏合香,HN3240
苏木,苏木,HN6313
酸枣仁,酸枣仁,HN1986
娑罗子,娑罗子,HN9072
锁阳,锁阳,HN5331
太子参,太子参,HN7053
檀香,檀香,HN178
桃仁,桃仁,HN1421
桃枝,桃枝,HN7288
天冬,天冬,HN1329
天花粉,天花粉,HN6909
天麻,天麻,HN8843
天南星,天南星,HN2253
天仙藤,天仙藤,HN8531
天仙子,天仙子,HN6198
天竺黄,天竺黄,HN4391
葶苈子,葶苈子,HN844
土贝母,土贝母,HN1436
土茯苓,土茯苓,HN4849
土荆皮,土荆皮,HN1915
土木香,土木香,HN1608
菟丝子,菟丝子,HN2944
王不留行,王不留行,HN1464
威灵仙,威灵仙,HN5554
委陵菜,委陵菜,HN8400
乌梅,乌梅,HN3334
乌药,乌药,HN4932
吴茱萸,吴茱萸,HN180
五加皮,五加皮,HN7113
五味子,五味子,HN3631
西洋参,西洋参,HN1519
菥蓂,菥蓂,HN8093
豨莶草,豨莶草,HN352
细辛,细辛,HN148
夏枯草,夏枯草,HN486
夏天无,夏天无,HN7424
仙鹤草,仙鹤草,HN2637
仙茅,仙茅,HN2911
香附,香附,HN1215
香加皮,香加皮,HN1355
香薷,香薷,HN4397
香橼,香橼,HN3548
小茴香,小茴香,HN3677
小蓟,小蓟,HN3804
薤白,薤白,HN8791
辛夷,辛夷,HN6008
徐长卿,徐长卿,HN5105
续断,续断,HN1548
玄参,玄参,HN206
旋覆花,旋覆花,HN1184
血竭,血竭,HN6164
鸦胆子,鸦胆子,HN2681
鸭跖草,鸭跖草,HN2789
亚麻子,亚麻子,HN7660
延胡索,延胡索,HN5614
延胡索,延胡索,HN9139
岩白菜,岩白菜,HN5411
洋金花,洋金花,HN4511
药王茶,药王茶,HN6123
野菊花,野菊花,HN7192
野木瓜,野木瓜,HN5544
一枝黄花,一枝黄花,HN2479
伊贝母,伊贝母,HN4423
益母草,益母草,HN997
益智,益智,HN402
薏苡仁,薏苡仁,HN3066
茵陈,茵陈,HN1174
银柴胡,银柴胡,HN4162
淫羊藿,淫羊藿,HN6009
罂粟壳,罂粟壳,HN3663
鱼腥草,鱼腥草,HN8157
玉竹,玉竹,HN8240
郁金,郁金,HN2291
郁李仁,郁李仁,HN6607
预知子,预知子,HN578
芫花,芫花,HN3440
远志,远志,HN6899
月季花,月季花,HN3325
皂角刺,皂角刺,HN6640
泽兰,泽兰,HN3321
泽泻,泽泻,HN6201
浙贝母,浙贝母,HN1431
知母,知母,HN5742
栀子,栀子,HN2604
蜘蛛香,蜘蛛香,HN7161
枳壳,枳壳,HN2242
枳实,枳实,HN5566
肿节风,肿节风,HN422
朱砂根,朱砂根,HN7077
